id,name_heb,name_eng,geoname_id
NLI-VA-COUNTRIES1,?????????,Afghanistan,1149361
NLI-VA-COUNTRIES2,??????,Albania,783754
NLI-VA-COUNTRIES3,???????,Algeria,2589581
NLI-VA-COUNTRIES4,??????,Andorra,3041565
NLI-VA-COUNTRIES5,??????,Angola,3351879
NLI-VA-COUNTRIES6,???????? ???????,Antigua and Barbuda,3576396
NLI-VA-COUNTRIES7,????????,Argentina,3865483
NLI-VA-COUNTRIES8,??????,Armenia,174982
NLI-VA-COUNTRIES9,????????,Australia,2077456
NLI-VA-COUNTRIES10,???????,Austria,2782113
NLI-VA-COUNTRIES11,??????'?,Azerbaijan,587116
NLI-VA-COUNTRIES12,??? ?????,Bahamas,3572887
NLI-VA-COUNTRIES13,??????,Bahrain,290291
NLI-VA-COUNTRIES14,???????,Bangladesh,1210997
NLI-VA-COUNTRIES15,??????,Barbados,3374084
NLI-VA-COUNTRIES16,??????,Belarus,630336
NLI-VA-COUNTRIES17,?????,Belgium,2802361
NLI-VA-COUNTRIES18,????,Belize,3582678
NLI-VA-COUNTRIES19,????,Benin,2395170
NLI-VA-COUNTRIES20,??????,Bhutan,1252634
NLI-VA-COUNTRIES21,???????,Bolivia,3923057
NLI-VA-COUNTRIES22,?????? ??????????,Bosnia and Herzegovina,3277605
NLI-VA-COUNTRIES23,????????,Botswana,933860
NLI-VA-COUNTRIES24,?????,Brazil,3469034
NLI-VA-COUNTRIES25,???????,Bulgaria,732800
NLI-VA-COUNTRIES26,??????? ????,Burkina Faso,2361809
NLI-VA-COUNTRIES27,???????,Burundi,433561
NLI-VA-COUNTRIES28,?? ????,Cabo Verde,3374766
NLI-VA-COUNTRIES29,???????,Cambodia,1831722
NLI-VA-COUNTRIES30,??????,Cameroon,2233387
NLI-VA-COUNTRIES31,????,Canada,6251999
NLI-VA-COUNTRIES32,????????? ?????-????????,Central African Republic,239880
NLI-VA-COUNTRIES33,?'??,Chad,2434508
NLI-VA-COUNTRIES34,????,Chile,3895114
NLI-VA-COUNTRIES35,????????? ?????? ?? ???,China,1814991
NLI-VA-COUNTRIES36,????????,Colombia,3686110
NLI-VA-COUNTRIES37,??????,Comoros,921929
NLI-VA-COUNTRIES38,????????? ?? ?????,Congo,2260494
NLI-VA-COUNTRIES39,????? ????,Costa Rica,3624060
